 "tags","is_answered","view_count","answer_count","score","last_activity_date","creation_date","last_edit_date","question_id","content_license","link","title","body","code"
"['python'; 'pandas']","True","40197","5","220","1649006979","1384990299","1495540498","20109391","CC BY-SA 3.0","https://stackoverflow.com/questions/20109391/how-to-make-good-reproducible-pandas-examples","How to make good reproducible pandas examples","Having spent a decent amount of time watching both the r and pandas tags on SO the impression that I get is that pandas questions are less likely to contain reproducible data. This is something that the R community has been pretty good about encouraging and thanks to guides like this newcomers are able to get some help on putting together these examples. People who are able to read these guides and come back with reproducible data will often have much better luck getting answers to their questions.How can we create good reproducible examples for pandas questions? Simple dataframes can be put together e.g.:import pandas as pddf = pd.DataFrame({'user': ['Bob' 'Jane' 'Alice']                    'income': [40000 50000 42000]})But many example datasets need more complicated structure e.g.:datetime indices or dataMultiple categorical variables (is there an equivalent to R's expand.grid() function which produces all possible combinations of some given variables?)MultiIndex or Panel dataFor datasets that are hard to mock up using a few lines of code is there an equivalent to R's dput() that allows you to generate copy-pasteable code to regenerate your datastructure?","[<code>pandas</code><code>pandas</code><code>importpandasaspddf=pd.DataFrame({'user':['Bob''Jane''Alice']'income':[400005000042000]})</code><code>datetime</code><code>expand.grid()</code><code>dput()</code>]"
"['python'; 'if-statement'; 'comparison'; 'match'; 'boolean-logic']","True","425450","28","783","1642880434","1361967983","1640169757","15112125","CC BY-SA 4.0","https://stackoverflow.com/questions/15112125/how-to-test-multiple-variables-for-equality-against-a-single-value","How to test multiple variables for equality against a single value?","I'm trying to make a function that will compare multiple variables to an integer and output a string of three letters. I was wondering if there was a way to translate this into Python. So say:x = 0y = 1z = 3mylist = []if x or y or z == 0 :    mylist.append(c)if x or y or z == 1 :    mylist.append(d)if x or y or z == 2 :    mylist.append(e)if x or y or z == 3 :     mylist.append(f)which would return a list of:[c d f]Is something like this possible?","[<code>x=0y=1z=3mylist=[]ifxoryorz==0:mylist.append(c)ifxoryorz==1:mylist.append(d)ifxoryorz==2:mylist.append(e)ifxoryorz==3:mylist.append(f)</code><code>[cdf]</code>]"
"['python']","True","850508","22","694","1644802105","1398432707","1617213263","23294658","CC BY-SA 4.0","https://stackoverflow.com/questions/23294658/asking-the-user-for-input-until-they-give-a-valid-response","Asking the user for input until they give a valid response","I am writing a program that accepts an input from the user.#note: Python 2.7 users should use `raw_input` the equivalent of 3.X's `input`age = int(input(Please enter your age: ))if age >= 18:     print(You are able to vote in the United States!)else:    print(You are not able to vote in the United States.)The program works as expected as long as the the user enters meaningful data. C:\Python\Projects> canyouvote.pyPlease enter your age: 23You are able to vote in the United States!But it fails if the user enters invalid data:C:\Python\Projects> canyouvote.pyPlease enter your age: dickety sixTraceback (most recent call last):  File canyouvote.py line 1 in <module>    age = int(input(Please enter your age: ))ValueError: invalid literal for int() with base 10: 'dickety six'Instead of crashing I would like the program to ask for the input again. Like this:C:\Python\Projects> canyouvote.pyPlease enter your age: dickety sixSorry I didn't understand that.Please enter your age: 26You are able to vote in the United States!How can I make the program ask for valid inputs instead of crashing when non-sensical data is entered?How can I reject values like -1 which is a valid int but nonsensical in this context?","[<code>#note:Python2.7usersshoulduse`raw_input`theequivalentof3.X's`input`age=int(input(Pleaseenteryourage:))ifage=18:print(YouareabletovoteintheUnitedStates!)else:print(YouarenotabletovoteintheUnitedStates.)</code><code>C:\Python\Projectscanyouvote.pyPleaseenteryourage:23YouareabletovoteintheUnitedStates!</code><code>C:\Python\Projectscanyouvote.pyPleaseenteryourage:dicketysixTraceback(mostrecentcalllast):Filecanyouvote.pyline1in&ltmoduleage=int(input(Pleaseenteryourage:))ValueError:invalidliteralforint()withbase10:'dicketysix'</code><code>C:\Python\Projectscanyouvote.pyPleaseenteryourage:dicketysixSorryIdidn'tunderstandthat.Pleaseenteryourage:26YouareabletovoteintheUnitedStates!</code><code>-1</code><code>int</code>]"
"['python'; 'variable-variables']","True","207477","17","483","1648887168","1251981468","1610503314","1373164","CC BY-SA 4.0","https://stackoverflow.com/questions/1373164/how-do-i-create-variable-variables","How do I create variable variables?","How do I accomplish variable variables in Python?Here is an elaborative manual entry for instance: Variable variablesI hear this is a bad idea in general though and it is a security hole in PHP. Is that true?","[]"
"['python'; 'slice'; 'sequence']","True","2520788","34","4192","1648552222","1233700262","1648552222","509211","CC BY-SA 4.0","https://stackoverflow.com/questions/509211/understanding-slicing","Understanding slicing","I need a good explanation (references are a plus) on Python slicing.","[]"
"['python'; 'list'; 'nested-lists'; 'mutable']","True","61489","17","852","1624037173","1225119442","1624033765","240178","CC BY-SA 4.0","https://stackoverflow.com/questions/240178/list-of-lists-changes-reflected-across-sublists-unexpectedly","List of lists changes reflected across sublists unexpectedly","I needed to create a list of lists in Python so I typed the following:my_list = [[1] * 4] * 3The list looked like this:[[1 1 1 1] [1 1 1 1] [1 1 1 1]]  Then I changed one of the innermost values:my_list[0][0] = 5Now my list looks like this:[[5 1 1 1] [5 1 1 1] [5 1 1 1]]  which is not what I wanted or expected. Can someone please explain what's going on and how to get around it?","[<code>my_list=[[1]*4]*3</code><code>[[1111][1111][1111]]</code><code>my_list[0][0]=5</code><code>[[5111][5111][5111]]</code>]"
"['python'; 'language-design'; 'default-parameters'; 'least-astonishment']","True","211997","32","3097","1648721387","1247680837","1627688197","1132941","CC BY-SA 4.0","https://stackoverflow.com/questions/1132941/least-astonishment-and-the-mutable-default-argument","Least Astonishment and the Mutable Default Argument","Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:def foo(a=[]):    a.append(5)    return aPython novices would expect this function to always return a list with only one element: [5]. The result is instead very different and very astonishing (for a novice):>>> foo()[5]>>> foo()[5 5]>>> foo()[5 5 5]>>> foo()[5 5 5 5]>>> foo()A manager of mine once had his first encounter with this feature and called it a dramatic design flaw of the language. I replied that the behavior had an underlying explanation and it is indeed very puzzling and unexpected if you don't understand the internals. However I was not able to answer (to myself) the following question: what is the reason for binding the default argument at function definition and not at function execution? I doubt the experienced behavior has a practical use (who really used static variables in C without breeding bugs?)Edit:Baczek made an interesting example. Together with most of your comments and Utaal's in particular I elaborated further:>>> def a():...     print(a executed)...     return []... >>>            >>> def b(x=a()):...     x.append(5)...     print(x)... a executed>>> b()[5]>>> b()[5 5]To me it seems that the design decision was relative to where to put the scope of parameters: inside the function or together with it?Doing the binding inside the function would mean that x is effectively bound to the specified default when the function is called not defined something that would present a deep flaw: the def line would be hybrid in the sense that part of the binding (of the function object) would happen at definition and part (assignment of default parameters) at function invocation time.The actual behavior is more consistent: everything of that line gets evaluated when that line is executed meaning at function definition.","[<code>deffoo(a=[]):a.append(5)returna</code><code>[5]</code><code>foo()[5]foo()[55]foo()[555]foo()[5555]foo()</code><code>defa():...print(aexecuted)...return[]...defb(x=a()):...x.append(5)...print(x)...aexecutedb()[5]b()[55]</code><code>x</code><code>def</code>]"
"['python'; 'list'; 'reference'; 'copy'; 'clone']","True","1985172","21","3044","1648777112","1270889386","1648777112","2612802","CC BY-SA 4.0","https://stackoverflow.com/questions/2612802/how-do-i-clone-a-list-so-that-it-doesnt-change-unexpectedly-after-assignment","How do I clone a list so that it doesn't change unexpectedly after assignment?","While using new_list = my_list any modifications to new_list changes my_list every time. Why is this and how can I clone or copy the list to prevent it?","[<code>new_list=my_list</code><code>new_list</code><code>my_list</code>]"
"['python'; 'pandas'; 'join'; 'merge'; 'concatenation']","True","279652","6","743","1631941129","1544078475","1627753111","53645882","CC BY-SA 4.0","https://stackoverflow.com/questions/53645882/pandas-merging-101","Pandas Merging 101","How can I perform a (INNER| (LEFT|RIGHT|FULL) OUTER) JOIN with pandas?How do I add NaNs for missing rows after a merge?How do I get rid of NaNs after merging?Can I merge on the index?How do I merge multiple DataFrames?Cross join with pandasmerge? join? concat? update? Who? What? Why?!... and more. I've seen these recurring questions asking about various facets of the pandas merge functionality. Most of the information regarding merge and its various use cases today is fragmented across dozens of badly worded unsearchable posts. The aim here is to collate some of the more important points for posterity.This Q&A is meant to be the next installment in a series of helpful user guides on common pandas idioms (see this post on pivoting and this post on concatenation which I will be touching on later).Please note that this post is not meant to be a replacement for the documentation so please read that as well! Some of the examples are taken from there.Table of ContentsFor ease of access.Merging basics - basic types of joins (read this first)Index-based joinsGeneralizing to multiple DataFramesCross join","[<code>INNER</code><code>LEFT</code><code>RIGHT</code><code>FULL</code><code>OUTER</code><code>JOIN</code><code>merge</code><code>join</code><code>concat</code><code>update</code>]"
"['python'; 'pandas'; 'group-by'; 'pivot'; 'pandas-groupby']","True","49202","3","518","1628336575","1510041628","1627755056","47152691","CC BY-SA 4.0","https://stackoverflow.com/questions/47152691/how-can-i-pivot-a-dataframe","How can I pivot a dataframe?","What is pivot?How do I pivot?Is this a pivot?Long format to wide format?I've seen a lot of questions that ask about pivot tables.  Even if they don't know that they are asking about pivot tables they usually are.  It is virtually impossible to write a canonical question and answer that encompasses all aspects of pivoting...... But I'm going to give it a go.The problem with existing questions and answers is that often the question is focused on a nuance that the OP has trouble generalizing in order to use a number of the existing good answers.  However none of the answers attempt to give a comprehensive explanation (because it's a daunting task)Look a few examples from my Google SearchHow to pivot a dataframe in Pandas?Good question and answer.  But the answer only answers the specific question with little explanation.pandas pivot table to data frameIn this question the OP is concerned with the output of the pivot.  Namely how the columns look.  OP wanted it to look like R.  This isn't very helpful for pandas users.pandas pivoting a dataframe duplicate rowsAnother decent question but the answer focuses on one method namely pd.DataFrame.pivotSo whenever someone searches for pivot they get sporadic results that are likely not going to answer their specific question.SetupYou may notice that I conspicuously named my columns and relevant column values to correspond with how I'm going to pivot in the answers below.import numpy as npimport pandas as pdfrom numpy.core.defchararray import addnp.random.seed([31415])n = 20cols = np.array(['key' 'row' 'item' 'col'])arr1 = (np.random.randint(5 size=(n 4)) // [2 1 2 1]).astype(str)df = pd.DataFrame(    add(cols arr1) columns=cols).join(    pd.DataFrame(np.random.rand(n 2).round(2)).add_prefix('val'))print(df)     key   row   item   col  val0  val10   key0  row3  item1  col3  0.81  0.041   key1  row2  item1  col2  0.44  0.072   key1  row0  item1  col0  0.77  0.013   key0  row4  item0  col2  0.15  0.594   key1  row0  item2  col1  0.81  0.645   key1  row2  item2  col4  0.13  0.886   key2  row4  item1  col3  0.88  0.397   key1  row4  item1  col1  0.10  0.078   key1  row0  item2  col4  0.65  0.029   key1  row2  item0  col2  0.35  0.6110  key2  row0  item2  col1  0.40  0.8511  key2  row4  item1  col2  0.64  0.2512  key0  row2  item2  col3  0.50  0.4413  key0  row4  item1  col4  0.24  0.4614  key1  row3  item2  col3  0.28  0.1115  key0  row3  item1  col1  0.31  0.2316  key0  row0  item2  col3  0.86  0.0117  key0  row4  item0  col3  0.64  0.2118  key2  row2  item2  col0  0.13  0.4519  key0  row2  item0  col4  0.37  0.70Question(s)Why do I get ValueError: Index contains duplicate entries cannot reshapeHow do I pivot df such that the col values are columns row values are the index and mean of val0 are the values? col   col0   col1   col2   col3  col4 row row0  0.77  0.605    NaN  0.860  0.65 row2  0.13    NaN  0.395  0.500  0.25 row3   NaN  0.310    NaN  0.545   NaN row4   NaN  0.100  0.395  0.760  0.24How do I pivot df such that the col values are columns row values are the index mean of val0 are the values and missing values are 0? col   col0   col1   col2   col3  col4 row row0  0.77  0.605  0.000  0.860  0.65 row2  0.13  0.000  0.395  0.500  0.25 row3  0.00  0.310  0.000  0.545  0.00 row4  0.00  0.100  0.395  0.760  0.24Can I get something other than mean like maybe sum? col   col0  col1  col2  col3  col4 row row0  0.77  1.21  0.00  0.86  0.65 row2  0.13  0.00  0.79  0.50  0.50 row3  0.00  0.31  0.00  1.09  0.00 row4  0.00  0.10  0.79  1.52  0.24Can I do more that one aggregation at a time?        sum                          mean col   col0  col1  col2  col3  col4  col0   col1   col2   col3  col4 row row0  0.77  1.21  0.00  0.86  0.65  0.77  0.605  0.000  0.860  0.65 row2  0.13  0.00  0.79  0.50  0.50  0.13  0.000  0.395  0.500  0.25 row3  0.00  0.31  0.00  1.09  0.00  0.00  0.310  0.000  0.545  0.00 row4  0.00  0.10  0.79  1.52  0.24  0.00  0.100  0.395  0.760  0.24Can I aggregate over multiple value columns?       val0                             val1 col   col0   col1   col2   col3  col4  col0   col1  col2   col3  col4 row row0  0.77  0.605  0.000  0.860  0.65  0.01  0.745  0.00  0.010  0.02 row2  0.13  0.000  0.395  0.500  0.25  0.45  0.000  0.34  0.440  0.79 row3  0.00  0.310  0.000  0.545  0.00  0.00  0.230  0.00  0.075  0.00 row4  0.00  0.100  0.395  0.760  0.24  0.00  0.070  0.42  0.300  0.46Can Subdivide by multiple columns? item item0             item1                         item2 col   col2  col3  col4  col0  col1  col2  col3  col4  col0   col1  col3  col4 row row0  0.00  0.00  0.00  0.77  0.00  0.00  0.00  0.00  0.00  0.605  0.86  0.65 row2  0.35  0.00  0.37  0.00  0.00  0.44  0.00  0.00  0.13  0.000  0.50  0.13 row3  0.00  0.00  0.00  0.00  0.31  0.00  0.81  0.00  0.00  0.000  0.28  0.00 row4  0.15  0.64  0.00  0.00  0.10  0.64  0.88  0.24  0.00  0.000  0.00  0.00Or item      item0             item1                         item2 col        col2  col3  col4  col0  col1  col2  col3  col4  col0  col1  col3  col4 key  row key0 row0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.86  0.00      row2  0.00  0.00  0.37  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.50  0.00      row3  0.00  0.00  0.00  0.00  0.31  0.00  0.81  0.00  0.00  0.00  0.00  0.00      row4  0.15  0.64  0.00  0.00  0.00  0.00  0.00  0.24  0.00  0.00  0.00  0.00 key1 row0  0.00  0.00  0.00  0.77  0.00  0.00  0.00  0.00  0.00  0.81  0.00  0.65      row2  0.35  0.00  0.00  0.00  0.00  0.44  0.00  0.00  0.00  0.00  0.00  0.13      row3  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.28  0.00      row4  0.00  0.00  0.00  0.00  0.10  0.00  0.00  0.00  0.00  0.00  0.00  0.00 key2 row0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.40  0.00  0.00      row2  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.13  0.00  0.00  0.00      row4  0.00  0.00  0.00  0.00  0.00  0.64  0.88  0.00  0.00  0.00  0.00  0.00Can I aggregate the frequency in which the column and rows occur together aka cross tabulation? col   col0  col1  col2  col3  col4 row row0     1     2     0     1     1 row2     1     0     2     1     2 row3     0     1     0     2     0 row4     0     1     2     2     1How do I convert a DataFrame from long to wide by pivoting on ONLY two columns? Givennp.random.seed([3 1415])df2 = pd.DataFrame({'A': list('aaaabbbc') 'B': np.random.choice(15 8)})df2   A   B0  a   01  a  112  a   23  a  114  b  105  b  106  b  147  c   7The expected should look something like      a     b    c0   0.0  10.0  7.01  11.0  10.0  NaN2   2.0  14.0  NaN3  11.0   NaN  NaNHow do I flatten the multiple index to single index after pivot?From   1  2   1  1  2a  2  1  1b  2  1  0c  1  0  0To   1|1  2|1  2|2a    2    1    1b    2    1    0c    1    0    0","[<code>pd.DataFrame.pivot</code><code>pivot</code><code>importnumpyasnpimportpandasaspdfromnumpy.core.defchararrayimportaddnp.random.seed([31415])n=20cols=np.array(['key''row''item''col'])arr1=(np.random.randint(5size=(n4))//[2121]).astype(str)df=pd.DataFrame(add(colsarr1)columns=cols).join(pd.DataFrame(np.random.rand(n2).round(2)).add_prefix('val'))print(df)keyrowitemcolval0val10key0row3item1col30.810.041key1row2item1col20.440.072key1row0item1col00.770.013key0row4item0col20.150.594key1row0item2col10.810.645key1row2item2col40.130.886key2row4item1col30.880.397key1row4item1col10.100.078key1row0item2col40.650.029key1row2item0col20.350.6110key2row0item2col10.400.8511key2row4item1col20.640.2512key0row2item2col30.500.4413key0row4item1col40.240.4614key1row3item2col30.280.1115key0row3item1col10.310.2316key0row0item2col30.860.0117key0row4item0col30.640.2118key2row2item2col00.130.4519key0row2item0col40.370.70</code><code>ValueError:Indexcontainsduplicateentriescannotreshape</code><code>df</code><code>col</code><code>row</code><code>val0</code><code>colcol0col1col2col3col4rowrow00.770.605NaN0.8600.65row20.13NaN0.3950.5000.25row3NaN0.310NaN0.545NaNrow4NaN0.1000.3950.7600.24</code><code>df</code><code>col</code><code>row</code><code>val0</code><code>0</code><code>colcol0col1col2col3col4rowrow00.770.6050.0000.8600.65row20.130.0000.3950.5000.25row30.000.3100.0000.5450.00row40.000.1000.3950.7600.24</code><code>mean</code><code>sum</code><code>colcol0col1col2col3col4rowrow00.771.210.000.860.65row20.130.000.790.500.50row30.000.310.001.090.00row40.000.100.791.520.24</code><code>summeancolcol0col1col2col3col4col0col1col2col3col4rowrow00.771.210.000.860.650.770.6050.0000.8600.65row20.130.000.790.500.500.130.0000.3950.5000.25row30.000.310.001.090.000.000.3100.0000.5450.00row40.000.100.791.520.240.000.1000.3950.7600.24</code><code>val0val1colcol0col1col2col3col4col0col1col2col3col4rowrow00.770.6050.0000.8600.650.010.7450.000.0100.02row20.130.0000.3950.5000.250.450.0000.340.4400.79row30.000.3100.0000.5450.000.000.2300.000.0750.00row40.000.1000.3950.7600.240.000.0700.420.3000.46</code><code>itemitem0item1item2colcol2col3col4col0col1col2col3col4col0col1col3col4rowrow00.000.000.000.770.000.000.000.000.000.6050.860.65row20.350.000.370.000.000.440.000.000.130.0000.500.13row30.000.000.000.000.310.000.810.000.000.0000.280.00row40.150.640.000.000.100.640.880.240.000.0000.000.00</code><code>itemitem0item1item2colcol2col3col4col0col1col2col3col4col0col1col3col4keyrowkey0row00.000.000.000.000.000.000.000.000.000.000.860.00row20.000.000.370.000.000.000.000.000.000.000.500.00row30.000.000.000.000.310.000.810.000.000.000.000.00row40.150.640.000.000.000.000.000.240.000.000.000.00key1row00.000.000.000.770.000.000.000.000.000.810.000.65row20.350.000.000.000.000.440.000.000.000.000.000.13row30.000.000.000.000.000.000.000.000.000.000.280.00row40.000.000.000.000.100.000.000.000.000.000.000.00key2row00.000.000.000.000.000.000.000.000.000.400.000.00row20.000.000.000.000.000.000.000.000.130.000.000.00row40.000.000.000.000.000.640.880.000.000.000.000.00</code><code>colcol0col1col2col3col4rowrow012011row210212row301020row401221</code><code>np.random.seed([31415])df2=pd.DataFrame({'A':list('aaaabbbc')'B':np.random.choice(158)})df2AB0a01a112a23a114b105b106b147c7</code><code>abc00.010.07.0111.010.0NaN22.014.0NaN311.0NaNNaN</code><code>pivot</code><code>12112a211b210c100</code><code>1|12|12|2a211b210c100</code>]"
